"","Brewery_id","Beer","Beer_ID","ABV","IBU","Style","Ounces","Brewery","City","State","IBUFac","ABVFac","IBUPred","ABV1"
"1",1,"Get Together",2692,-1.09256013646469,0.283488674890876,"American IPA",16,"NorthGate Brewing ","Minneapolis"," MN","50","Normal (0.04 - 0.07)",50,0.045
"2",1,"Maggie's Leap",2691,-0.796165577280924,-0.640248268830471,"Milk / Sweet Stout",16,"NorthGate Brewing ","Minneapolis"," MN","26","Normal (0.04 - 0.07)",26,0.049
"3",1,"Wall's End",2690,-0.870264217076866,-0.909671544082531,"English Brown Ale",16,"NorthGate Brewing ","Minneapolis"," MN","19","Normal (0.04 - 0.07)",19,0.048
"4",1,"Pumpion",2689,0.0189194604744338,-0.178379796969798,"Pumpkin Ale",16,"NorthGate Brewing ","Minneapolis"," MN","38","Normal (0.04 - 0.07)",38,0.06
"5",1,"Stronghold",2688,0.0189194604744338,-0.678737308152194,"American Porter",16,"NorthGate Brewing ","Minneapolis"," MN","25","Normal (0.04 - 0.07)",25,0.06
"6",1,"Parapet ESB",2687,-0.277475098709333,0.168021556925708,"Extra Special / Strong Bitter (ESB)",16,"NorthGate Brewing ","Minneapolis"," MN","47","Normal (0.04 - 0.07)",47,0.056
"7",2,"Citra Ass Down",2686,1.50089225639327,0.976291382681887,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY","68","Strong ( >7)",68,0.08
"8",2,"London Balling",2685,4.83533104721064,1.43815985454256,"English Barleywine",16,"Against the Grain Brewery","Louisville"," KY","80","Strong ( >7)",80,0.125
"9",2,"35 K",2684,1.27859633700544,-0.678737308152194,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville"," KY","25","Strong ( >7)",25,0.077
"10",2,"A Beer",2683,-1.31485605585252,-0.0244236396829063,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville"," KY","42","Normal (0.04 - 0.07)",42,0.042
"11",2,"Rules are Rules",2682,-0.722066937484983,-0.678737308152194,"German Pilsener",16,"Against the Grain Brewery","Louisville"," KY","25","Normal (0.04 - 0.07)",25,0.05
"12",2,"Flesh Gourd'n",2681,0.463511299250084,-0.832693465439086,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville"," KY","21","Normal (0.04 - 0.07)",21,0.066
"13",2,"Sho'nuff",2680,-1.4630533354444,-1.14060578001287,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville"," KY","13","Weak ( < 0.04)",13,0.04
"14",2,"Bloody Show",2679,-0.351573738505274,-0.986649622725977,"American Pilsner",16,"Against the Grain Brewery","Louisville"," KY","17","Normal (0.04 - 0.07)",17,0.055
"15",2,"Rico Sauvin",2678,1.2044976972095,0.976291382681887,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY","68","Strong ( >7)",68,0.076
"16",2,"Coq de la Marche",2677,-0.647968297689041,-0.178379796969798,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville"," KY","38","Normal (0.04 - 0.07)",38,0.051
"17",2,"Kamen Knuddeln",2676,0.389412659454142,0.658756808277674,"American Wild Ale",16,"Against the Grain Brewery","Louisville"," KY","NA","Normal (0.04 - 0.07)",59.75,0.065
"18",2,"Pile of Face",2675,0.0189194604744338,0.860824264716719,"American IPA",16,"Against the Grain Brewery","Louisville"," KY","65","Normal (0.04 - 0.07)",65,0.06
"19",2,"The Brown Note",2674,-0.722066937484983,-0.871182504760808,"English Brown Ale",16,"Against the Grain Brewery","Louisville"," KY","20","Normal (0.04 - 0.07)",20,0.05
"20",3,"House Lager",2673,-0.5738696578931,-0.948160583404254,"Keller Bier / Zwickel Bier",16,"Jack's Abby Craft Lagers","Framingham"," MA","18","Normal (0.04 - 0.07)",18,0.052
"21",3,"Leisure Time",2672,-0.870264217076866,-1.06362770136942,"American Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA","15","Normal (0.04 - 0.07)",15,0.048
"22",3,"Excess IPL",2671,0.908103138025734,1.43815985454256,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham"," MA","80","Strong ( >7)",80,0.072
"23",3,"Hoponius Union",2670,0.537609939046026,0.860824264716719,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA","65","Normal (0.04 - 0.07)",65,0.067
